      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.100E+01  7.471E-05  5.360E-03 -9.574E-05  3.764E-03  8.465E-11  1.216E-04 -9.219E-03 -8.494E-05 -2.050E-10 -6.550E-03
   1.0000000E-02  1.100E+01  1.498E-04  7.089E-03 -2.110E-04  4.977E-03  4.104E-10  1.730E-04 -1.219E-02 -1.854E-04 -3.172E-10 -8.661E-03
   2.0000000E-02  1.100E+01  2.685E-04  8.877E-03 -3.610E-04  6.226E-03  1.106E-09  2.448E-04 -1.525E-02 -3.159E-04 -5.241E-10 -1.084E-02
   5.0000000E-02  1.100E+01  5.007E-04  1.046E-02 -6.374E-04  7.316E-03  3.246E-09  3.854E-04 -1.791E-02 -5.590E-04 -1.095E-09 -1.276E-02
   1.0000000E-01  1.100E+01  7.443E-04  1.041E-02 -9.240E-04  7.249E-03  6.752E-09  5.343E-04 -1.775E-02 -8.103E-04 -1.974E-09 -1.268E-02
   2.0000000E-01  1.100E+01  1.054E-03  9.298E-03 -1.288E-03  6.421E-03  1.340E-08  7.257E-04 -1.572E-02 -1.131E-03 -3.591E-09 -1.130E-02
   3.0000000E-01  1.100E+01  1.262E-03  8.367E-03 -1.532E-03  5.732E-03  1.955E-08  8.547E-04 -1.403E-02 -1.347E-03 -5.011E-09 -1.014E-02
   4.0000000E-01  1.100E+01  1.417E-03  7.667E-03 -1.713E-03  5.213E-03  2.522E-08  9.505E-04 -1.276E-02 -1.508E-03 -6.319E-09 -9.267E-03
   5.0000000E-01  1.100E+01  1.538E-03  7.128E-03 -1.853E-03  4.812E-03  3.037E-08  1.025E-03 -1.178E-02 -1.635E-03 -7.419E-09 -8.593E-03
   7.5000000E-01  1.100E+01  1.749E-03  6.199E-03 -2.096E-03  4.115E-03  4.178E-08  1.152E-03 -1.007E-02 -1.857E-03 -9.809E-09 -7.428E-03
