      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  3.200E+01  2.355E-05  2.000E-05  1.526E-05  1.386E-05  8.305E-11  3.302E-06 -3.400E-05  5.232E-06 -4.916E-11 -2.433E-05
   1.0000000E-02  3.200E+01  1.631E-05  2.649E-05  1.151E-05  1.833E-05  1.482E-11  4.477E-06 -4.486E-05  4.179E-06  3.684E-11 -3.221E-05
   2.0000000E-02  3.200E+01  1.397E-05  3.321E-05  8.281E-06  2.290E-05 -1.504E-10  6.247E-06 -5.607E-05  3.074E-06  2.344E-10 -4.033E-05
   5.0000000E-02  3.200E+01  1.527E-05  3.922E-05  4.203E-06  2.682E-05 -6.920E-10  9.619E-06 -6.568E-05  1.556E-06  8.652E-10 -4.751E-05
   1.0000000E-01  3.200E+01  1.870E-05  3.920E-05  9.770E-07  2.643E-05 -1.611E-09  1.325E-05 -6.475E-05  3.185E-07  1.923E-09 -4.726E-05
   2.0000000E-01  3.200E+01  2.389E-05  3.531E-05 -2.537E-06  2.317E-05 -3.377E-09  1.794E-05 -5.681E-05 -1.040E-06  3.946E-09 -4.216E-05
   3.0000000E-01  3.200E+01  2.758E-05  3.202E-05 -4.727E-06  2.047E-05 -5.021E-09  2.111E-05 -5.027E-05 -1.884E-06  5.827E-09 -3.788E-05
   4.0000000E-01  3.200E+01  3.036E-05  2.956E-05 -6.311E-06  1.841E-05 -6.545E-09  2.348E-05 -4.534E-05 -2.488E-06  7.570E-09 -3.464E-05
   5.0000000E-01  3.200E+01  3.254E-05  2.767E-05 -7.533E-06  1.680E-05 -7.959E-09  2.532E-05 -4.152E-05 -2.948E-06  9.188E-09 -3.212E-05
   7.5000000E-01  3.200E+01  3.632E-05  2.447E-05 -9.662E-06  1.394E-05 -1.108E-08  2.853E-05 -3.487E-05 -3.726E-06  1.276E-08 -2.772E-05
   1.0000000E+00  3.200E+01  3.865E-05  2.248E-05 -1.103E-05  1.199E-05 -1.370E-08  3.052E-05 -3.052E-05 -4.192E-06  1.578E-08 -2.480E-05
   2.0000000E+00  3.200E+01  4.201E-05  1.906E-05 -1.343E-05  7.447E-06 -2.095E-08  3.357E-05 -2.169E-05 -4.784E-06  2.426E-08 -1.849E-05
   3.0000000E+00  3.200E+01  4.208E-05  1.839E-05 -1.411E-05  4.567E-06 -2.520E-08  3.390E-05 -1.762E-05 -4.615E-06  2.942E-08 -1.513E-05
   5.0000000E+00  3.200E+01  4.032E-05  2.007E-05 -1.433E-05 -2.155E-07 -2.955E-08  3.295E-05 -1.349E-05 -3.657E-06  3.527E-08 -1.076E-05
   7.0000000E+00  3.200E+01  3.841E-05  2.381E-05 -1.430E-05 -4.956E-06 -3.114E-08  3.183E-05 -1.127E-05 -2.463E-06  3.828E-08 -7.390E-06
   1.0000000E+01  3.200E+01  3.620E-05  3.178E-05 -1.437E-05 -1.278E-05 -3.084E-08  3.051E-05 -9.256E-06 -4.680E-07  4.016E-08 -2.905E-06
   1.5000000E+01  3.200E+01  3.406E-05  4.916E-05 -1.498E-05 -2.746E-05 -2.592E-08  2.946E-05 -7.416E-06  2.438E-06  3.916E-08  4.596E-06
   2.0000000E+01  3.200E+01  3.324E-05  7.032E-05 -1.605E-05 -4.416E-05 -1.693E-08  2.927E-05 -6.532E-06  4.510E-06  3.424E-08  1.244E-05
   2.5000000E+01  3.200E+01  3.327E-05  9.365E-05 -1.741E-05 -6.184E-05 -4.643E-09  2.931E-05 -6.216E-06  5.529E-06  2.583E-08  2.036E-05
   3.0000000E+01  3.200E+01  3.394E-05  1.186E-04 -1.900E-05 -8.016E-05  1.042E-08  2.936E-05 -6.385E-06  5.331E-06  1.396E-08  2.818E-05
   3.5000000E+01  3.200E+01  3.513E-05  1.446E-04 -2.074E-05 -9.858E-05  2.785E-08  2.930E-05 -6.940E-06  3.706E-06 -1.668E-09  3.569E-05
   4.0000000E+01  3.200E+01  3.675E-05  1.714E-04 -2.261E-05 -1.168E-04  4.736E-08  2.903E-05 -7.862E-06  6.275E-07 -2.176E-08  4.266E-05
   4.5000000E+01  3.200E+01  3.876E-05  1.988E-04 -2.459E-05 -1.345E-04  6.875E-08  2.849E-05 -9.132E-06 -3.926E-06 -4.755E-08  4.887E-05
   5.0000000E+01  3.200E+01  4.114E-05  2.268E-04 -2.666E-05 -1.516E-04  9.193E-08  2.765E-05 -1.074E-05 -9.955E-06 -8.082E-08  5.412E-05
   5.5000000E+01  3.200E+01  4.387E-05  2.554E-04 -2.881E-05 -1.679E-04  1.169E-07  2.648E-05 -1.268E-05 -1.745E-05 -1.239E-07  5.823E-05
   6.0000000E+01  3.200E+01  4.693E-05  2.848E-04 -3.104E-05 -1.832E-04  1.437E-07  2.498E-05 -1.494E-05 -2.639E-05 -1.798E-07  6.100E-05
   6.5000000E+01  3.200E+01  5.035E-05  3.150E-04 -3.334E-05 -1.976E-04  1.722E-07  2.316E-05 -1.754E-05 -3.679E-05 -2.517E-07  6.225E-05
   7.0000000E+01  3.200E+01  5.411E-05  3.463E-04 -3.571E-05 -2.110E-04  2.025E-07  2.101E-05 -2.048E-05 -4.863E-05 -3.436E-07  6.177E-05
   7.5000000E+01  3.200E+01  5.824E-05  3.790E-04 -3.814E-05 -2.233E-04  2.344E-07  1.853E-05 -2.377E-05 -6.193E-05 -4.597E-07  5.936E-05
   8.0000000E+01  3.200E+01  6.274E-05  4.134E-04 -4.062E-05 -2.346E-04  2.678E-07  1.576E-05 -2.729E-05 -7.676E-05 -6.044E-07  5.473E-05
   8.5000000E+01  3.200E+01  6.765E-05  4.497E-04 -4.315E-05 -2.447E-04  3.022E-07  1.268E-05 -3.128E-05 -9.314E-05 -7.822E-07  4.774E-05
   9.0000000E+01  3.200E+01  7.298E-05  4.881E-04 -4.572E-05 -2.536E-04  3.369E-07  9.325E-06 -3.563E-05 -1.111E-04 -9.975E-07  3.809E-05
   1.0000000E+02  3.200E+01  8.507E-05  5.738E-04 -5.092E-05 -2.683E-04  4.028E-07  1.616E-06 -4.558E-05 -1.524E-04 -1.556E-06  9.520E-06
