      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  1.250E-01  2.284E-02  2.035E-01  3.442E-04  1.438E-01  2.790E-10 -1.762E-05 -3.523E-01 -2.371E-03  1.249E-10 -2.492E-01
    1.000E-02  1.250E-01  3.243E-02  2.685E-01  4.917E-04  1.898E-01  5.202E-10 -2.585E-05 -4.650E-01 -3.475E-03  2.452E-10 -3.289E-01
    2.000E-02  1.250E-01  4.610E-02  3.349E-01  7.126E-04  2.367E-01  1.047E-09 -3.914E-05 -5.797E-01 -5.247E-03  4.937E-10 -4.101E-01
    5.000E-02  1.250E-01  7.384E-02  3.897E-01  1.212E-03  2.752E-01  2.529E-09 -7.456E-05 -6.742E-01 -9.866E-03  1.217E-09 -4.771E-01
    1.000E-01  1.250E-01  1.064E-01  3.801E-01  1.914E-03  2.680E-01  5.264E-09 -1.316E-04 -6.563E-01 -1.738E-02  2.405E-09 -4.650E-01
    2.000E-01  1.250E-01  1.555E-01  3.265E-01  3.241E-03  2.290E-01  9.848E-09 -2.451E-04 -5.606E-01 -3.336E-02  5.828E-09 -3.986E-01
    3.000E-01  1.250E-01  1.961E-01  2.831E-01  4.574E-03  1.971E-01  1.382E-08 -3.527E-04 -4.822E-01 -5.022E-02  1.022E-08 -3.446E-01
    4.000E-01  1.250E-01  2.320E-01  2.504E-01  5.923E-03  1.727E-01  1.829E-08 -4.506E-04 -4.220E-01 -6.732E-02  1.658E-08 -3.036E-01
    5.000E-01  1.250E-01  2.646E-01  2.250E-01  7.273E-03  1.534E-01  2.106E-08 -5.383E-04 -3.745E-01 -8.419E-02  2.465E-08 -2.715E-01
    7.500E-01  1.250E-01  3.342E-01  1.808E-01  1.057E-02  1.190E-01  2.865E-08 -7.225E-04 -2.894E-01 -1.233E-01  5.116E-08 -2.150E-01
    1.000E+00  1.250E-01  3.887E-01  1.519E-01  1.360E-02  9.593E-02  3.630E-08 -8.846E-04 -2.320E-01 -1.560E-01  8.468E-08 -1.776E-01
    2.000E+00  1.250E-01  4.812E-01  9.286E-02  2.181E-02  4.847E-02  5.864E-08 -1.799E-03 -1.137E-01 -2.194E-01  2.076E-07 -1.001E-01
    3.000E+00  1.250E-01  4.518E-01  6.520E-02  2.450E-02  2.842E-02  6.544E-08 -3.267E-03 -6.433E-02 -2.132E-01  2.303E-07 -6.475E-02
    6.000E+00  1.250E-01  2.546E-01  3.061E-02  2.060E-02  8.841E-03  2.406E-08 -7.116E-03 -1.898E-02 -1.221E-01 -1.024E-08 -2.377E-02
    9.000E+00  1.250E-01  1.401E-01  1.868E-02  1.496E-02  3.807E-03 -2.239E-08 -8.357E-03 -9.029E-03 -6.605E-02 -1.274E-07 -1.096E-02
    1.200E+01  1.250E-01  8.382E-02  1.336E-02  1.088E-02  1.864E-03 -2.174E-08 -8.222E-03 -5.713E-03 -3.830E-02 -8.431E-08 -5.675E-03
    1.500E+01  1.250E-01  5.406E-02  1.057E-02  8.086E-03  9.318E-04  1.466E-08 -7.594E-03 -4.263E-03 -2.378E-02  1.334E-09 -3.119E-03
    1.800E+01  1.250E-01  3.700E-02  8.913E-03  6.146E-03  4.206E-04  6.072E-08 -6.849E-03 -3.492E-03 -1.561E-02  7.117E-08 -1.745E-03
    2.100E+01  1.250E-01  2.653E-02  7.834E-03  4.768E-03  1.174E-04  9.746E-08 -6.120E-03 -3.017E-03 -1.072E-02  1.093E-07 -9.530E-04
    2.400E+01  1.250E-01  1.973E-02  7.080E-03  3.766E-03 -7.214E-05  1.172E-07 -5.455E-03 -2.691E-03 -7.624E-03  1.203E-07 -4.720E-04
    2.700E+01  1.250E-01  1.512E-02  6.523E-03  3.022E-03 -1.944E-04  1.203E-07 -4.867E-03 -2.448E-03 -5.582E-03  1.128E-07 -1.688E-04
    3.000E+01  1.250E-01  1.187E-02  6.093E-03  2.458E-03 -2.748E-04  1.110E-07 -4.352E-03 -2.257E-03 -4.180E-03  9.562E-08  2.841E-05
    3.300E+01  1.250E-01  9.519E-03  5.748E-03  2.024E-03 -3.277E-04  9.481E-08 -3.904E-03 -2.099E-03 -3.187E-03  7.503E-08  1.600E-04
    3.600E+01  1.250E-01  7.767E-03  5.464E-03  1.685E-03 -3.622E-04  7.642E-08 -3.514E-03 -1.966E-03 -2.463E-03  5.552E-08  2.497E-04
    3.900E+01  1.250E-01  6.435E-03  5.224E-03  1.415E-03 -3.840E-04  5.926E-08 -3.173E-03 -1.850E-03 -1.923E-03  3.936E-08  3.125E-04
    4.200E+01  1.250E-01  5.403E-03  5.018E-03  1.199E-03 -3.968E-04  4.559E-08 -2.874E-03 -1.748E-03 -1.511E-03  2.759E-08  3.574E-04
