      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  6.500E+00  6.739E-04  2.791E-02 -6.416E-04  1.964E-02  9.783E-10  3.356E-04 -4.811E-02 -7.222E-04 -3.955E-10 -3.413E-02
    1.000E-02  6.500E+00  1.190E-03  3.691E-02 -1.023E-03  2.597E-02  2.259E-09  4.771E-04 -6.360E-02 -1.146E-03 -7.677E-10 -4.513E-02
    2.000E-02  6.500E+00  1.898E-03  4.621E-02 -1.540E-03  3.250E-02  4.828E-09  6.749E-04 -7.959E-02 -1.720E-03 -1.491E-09 -5.649E-02
    5.000E-02  6.500E+00  3.237E-03  5.442E-02 -2.520E-03  3.820E-02  1.254E-08  1.062E-03 -9.354E-02 -2.824E-03 -3.638E-09 -6.648E-02
    1.000E-01  6.500E+00  4.644E-03  5.411E-02 -3.553E-03  3.787E-02  2.508E-08  1.472E-03 -9.273E-02 -3.984E-03 -7.057E-09 -6.605E-02
    2.000E-01  6.500E+00  6.443E-03  4.827E-02 -4.872E-03  3.358E-02  4.864E-08  1.999E-03 -8.222E-02 -5.478E-03 -1.342E-08 -5.879E-02
    3.000E-01  6.500E+00  7.659E-03  4.338E-02 -5.756E-03  3.002E-02  7.025E-08  2.354E-03 -7.348E-02 -6.493E-03 -1.928E-08 -5.274E-02
    4.000E-01  6.500E+00  8.567E-03  3.970E-02 -6.410E-03  2.733E-02  9.016E-08  2.616E-03 -6.690E-02 -7.256E-03 -2.438E-08 -4.818E-02
    5.000E-01  6.500E+00  9.278E-03  3.687E-02 -6.917E-03  2.525E-02  1.085E-07  2.820E-03 -6.181E-02 -7.858E-03 -2.899E-08 -4.466E-02
    7.500E-01  6.500E+00  1.052E-02  3.199E-02 -7.783E-03  2.166E-02  1.488E-07  3.170E-03 -5.300E-02 -8.926E-03 -3.900E-08 -3.859E-02
    1.000E+00  6.500E+00  1.131E-02  2.885E-02 -8.309E-03  1.932E-02  1.823E-07  3.383E-03 -4.727E-02 -9.624E-03 -4.703E-08 -3.467E-02
    2.000E+00  6.500E+00  1.263E-02  2.276E-02 -9.032E-03  1.460E-02  2.745E-07  3.687E-03 -3.570E-02 -1.094E-02 -6.415E-08 -2.688E-02
    3.000E+00  6.500E+00  1.294E-02  2.028E-02 -9.005E-03  1.243E-02  3.282E-07  3.696E-03 -3.036E-02 -1.150E-02 -6.656E-08 -2.351E-02
    5.000E+00  6.500E+00  1.300E-02  1.859E-02 -8.535E-03  1.021E-02  3.940E-07  3.561E-03 -2.480E-02 -1.236E-02 -4.787E-08 -2.059E-02
    7.000E+00  6.500E+00  1.308E-02  1.865E-02 -8.046E-03  8.989E-03  4.489E-07  3.430E-03 -2.160E-02 -1.351E-02 -1.435E-08 -1.961E-02
    1.000E+01  6.500E+00  1.360E-02  2.025E-02 -7.454E-03  7.813E-03  5.519E-07  3.293E-03 -1.832E-02 -1.604E-02  3.266E-08 -1.971E-02
    1.500E+01  6.500E+00  1.566E-02  2.536E-02 -6.702E-03  6.571E-03  7.867E-07  3.148E-03 -1.437E-02 -2.255E-02 -5.285E-08 -2.214E-02
    2.000E+01  6.500E+00  1.929E-02  3.293E-02 -5.979E-03  5.788E-03  8.974E-07  2.966E-03 -1.116E-02 -3.221E-02 -8.065E-07 -2.679E-02
    2.500E+01  6.500E+00  2.476E-02  4.312E-02 -5.091E-03  5.435E-03  2.193E-07  2.674E-03 -8.314E-03 -4.556E-02 -3.139E-06 -3.382E-02
    3.000E+01  6.500E+00  3.244E-02  5.660E-02 -3.927E-03  5.587E-03 -2.675E-06  2.270E-03 -5.703E-03 -6.352E-02 -8.385E-06 -4.386E-02
    3.500E+01  6.500E+00  4.288E-02  7.435E-02 -2.429E-03  6.343E-03 -1.032E-05  1.797E-03 -3.283E-03 -8.734E-02 -1.816E-05 -5.781E-02
    4.000E+01  6.500E+00  5.664E-02  9.748E-02 -5.886E-04  7.772E-03 -2.646E-05  1.308E-03 -1.053E-03 -1.185E-01 -3.401E-05 -7.663E-02
    4.500E+01  6.500E+00  7.408E-02  1.268E-01  1.546E-03  9.870E-03 -5.537E-05  8.666E-04  9.790E-04 -1.579E-01 -5.678E-05 -1.010E-01
    5.000E+01  6.500E+00  9.472E-02  1.617E-01  3.839E-03  1.247E-02 -9.987E-05  5.135E-04  2.789E-03 -2.048E-01 -8.571E-05 -1.303E-01
    5.500E+01  6.500E+00  1.161E-01  1.982E-01  6.030E-03  1.516E-02 -1.578E-04  2.426E-04  4.331E-03 -2.540E-01 -1.176E-04 -1.612E-01
    6.000E+01  6.500E+00  1.332E-01  2.280E-01  7.735E-03  1.724E-02 -2.190E-04 -1.540E-06  5.534E-03 -2.942E-01 -1.464E-04 -1.863E-01
    6.500E+01  6.500E+00  1.402E-01  2.410E-01  8.586E-03  1.798E-02 -2.671E-04 -2.835E-04  6.317E-03 -3.119E-01 -1.655E-04 -1.970E-01
    7.000E+01  6.500E+00  1.338E-01  2.325E-01  8.476E-03  1.713E-02 -2.892E-04 -6.327E-04  6.647E-03 -3.007E-01 -1.707E-04 -1.895E-01
    7.500E+01  6.500E+00  1.211E-01  2.074E-01  7.665E-03  1.509E-02 -2.837E-04 -8.871E-04  6.564E-03 -2.684E-01 -1.631E-04 -1.677E-01
    8.000E+01  6.500E+00  1.005E-01  1.750E-01  6.527E-03  1.255E-02 -2.589E-04 -1.217E-03  6.161E-03 -2.251E-01 -1.473E-04 -1.398E-01
    8.500E+01  6.500E+00  8.135E-02  1.432E-01  5.377E-03  1.007E-02 -2.254E-04 -1.420E-03  5.626E-03 -1.827E-01 -1.281E-04 -1.124E-01
    9.000E+01  6.500E+00  6.497E-02  1.156E-01  4.365E-03  7.919E-03 -1.908E-04 -1.536E-03  5.028E-03 -1.459E-01 -1.090E-04 -8.866E-02
    1.000E+02  6.500E+00  4.144E-02  7.554E-02  2.870E-03  4.780E-03 -1.320E-04 -1.553E-03  3.882E-03 -9.256E-02 -7.654E-05 -5.424E-02
    1.050E+02  6.500E+00  3.344E-02  6.181E-02  2.346E-03  3.691E-03 -1.093E-04 -1.499E-03  3.385E-03 -7.423E-02 -6.391E-05 -4.246E-02
    1.100E+02  6.500E+00  2.725E-02  5.115E-02  1.934E-03  2.846E-03 -9.061E-05 -1.419E-03  2.948E-03 -5.996E-02 -5.342E-05 -3.332E-02
    1.150E+02  6.500E+00  2.243E-02  4.285E-02  1.608E-03  2.191E-03 -7.540E-05 -1.323E-03  2.566E-03 -4.881E-02 -4.476E-05 -2.622E-02
    1.200E+02  6.500E+00  1.865E-02  3.634E-02  1.348E-03  1.686E-03 -6.302E-05 -1.219E-03  2.228E-03 -4.005E-02 -3.761E-05 -2.067E-02
    1.250E+02  6.500E+00  1.566E-02  3.121E-02  1.139E-03  1.291E-03 -5.293E-05 -1.112E-03  1.943E-03 -3.309E-02 -3.173E-05 -1.629E-02
    1.300E+02  6.500E+00  1.328E-02  2.712E-02  9.703E-04  9.844E-04 -4.469E-05 -1.005E-03  1.697E-03 -2.754E-02 -2.688E-05 -1.281E-02
    1.350E+02  6.500E+00  1.135E-02  2.385E-02  8.320E-04  7.455E-04 -3.794E-05 -9.010E-04  1.484E-03 -2.306E-02 -2.288E-05 -1.003E-02
    1.400E+02  6.500E+00  9.787E-03  2.121E-02  7.180E-04  5.593E-04 -3.238E-05 -8.009E-04  1.300E-03 -1.941E-02 -1.957E-05 -7.789E-03
    1.450E+02  6.500E+00  8.501E-03  1.907E-02  6.231E-04  4.143E-04 -2.777E-05 -7.055E-04  1.141E-03 -1.643E-02 -1.681E-05 -5.965E-03
    1.500E+02  6.500E+00  7.437E-03  1.732E-02  5.436E-04  3.014E-04 -2.392E-05 -6.151E-04  1.003E-03 -1.397E-02 -1.451E-05 -4.470E-03
    1.550E+02  6.500E+00  6.548E-03  1.589E-02  4.765E-04  2.136E-04 -2.070E-05 -5.298E-04  8.826E-04 -1.192E-02 -1.258E-05 -3.235E-03
    1.600E+02  6.500E+00  5.801E-03  1.472E-02  4.194E-04  1.456E-04 -1.799E-05 -4.495E-04  7.782E-04 -1.021E-02 -1.094E-05 -2.207E-03
    1.700E+02  6.500E+00  4.629E-03  1.296E-02  3.284E-04  5.251E-05 -1.375E-05 -3.036E-04  6.068E-04 -7.561E-03 -8.381E-06 -6.089E-04
    1.800E+02  6.500E+00  3.768E-03  1.177E-02  2.603E-04 -2.432E-06 -1.067E-05 -1.753E-04  4.732E-04 -5.644E-03 -6.525E-06  5.613E-04
    1.900E+02  6.500E+00  3.120E-03  1.100E-02  2.082E-04 -3.535E-05 -8.409E-06 -6.218E-05  3.661E-04 -4.232E-03 -5.175E-06  1.455E-03
    2.000E+02  6.500E+00  2.623E-03  1.053E-02  1.677E-04 -5.732E-05 -6.727E-06  3.802E-05  2.775E-04 -3.175E-03 -4.179E-06  2.167E-03
