      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  1.250E-01  2.253E-02  2.017E-01  3.100E-04  1.426E-01  1.568E-10 -1.439E-05 -3.493E-01 -2.318E-03  1.139E-10 -2.470E-01
    1.000E-02  1.250E-01  3.210E-02  2.662E-01  4.439E-04  1.882E-01  3.037E-10 -2.135E-05 -4.610E-01 -3.401E-03  2.236E-10 -3.260E-01
    2.000E-02  1.250E-01  4.568E-02  3.320E-01  6.453E-04  2.346E-01  4.203E-10 -3.368E-05 -5.747E-01 -5.180E-03  4.229E-10 -4.065E-01
    5.000E-02  1.250E-01  7.315E-02  3.862E-01  1.109E-03  2.728E-01  1.311E-09 -6.892E-05 -6.681E-01 -9.727E-03  6.630E-10 -4.728E-01
    1.000E-01  1.250E-01  1.054E-01  3.766E-01  1.774E-03  2.655E-01  3.779E-09 -1.316E-04 -6.503E-01 -1.719E-02 -1.587E-09 -4.607E-01
    2.000E-01  1.250E-01  1.543E-01  3.235E-01  3.063E-03  2.269E-01  1.103E-08 -2.683E-04 -5.554E-01 -3.313E-02 -2.219E-08 -3.949E-01
    3.000E-01  1.250E-01  1.947E-01  2.804E-01  4.380E-03  1.952E-01  2.535E-08 -4.097E-04 -4.776E-01 -4.998E-02 -7.506E-08 -3.413E-01
    4.000E-01  1.250E-01  2.306E-01  2.480E-01  5.726E-03  1.710E-01  4.547E-08 -5.490E-04 -4.179E-01 -6.708E-02 -1.668E-07 -3.006E-01
    5.000E-01  1.250E-01  2.632E-01  2.229E-01  7.082E-03  1.519E-01  6.910E-08 -6.835E-04 -3.708E-01 -8.395E-02 -3.024E-07 -2.689E-01
    7.500E-01  1.250E-01  3.329E-01  1.791E-01  1.041E-02  1.178E-01  1.176E-07 -9.964E-04 -2.866E-01 -1.231E-01 -8.379E-07 -2.129E-01
    1.000E+00  1.250E-01  3.875E-01  1.505E-01  1.349E-02  9.488E-02  8.950E-08 -1.287E-03 -2.297E-01 -1.559E-01 -1.655E-06 -1.758E-01
    2.000E+00  1.250E-01  4.806E-01  9.213E-02  2.182E-02  4.782E-02 -1.831E-06 -2.530E-03 -1.126E-01 -2.194E-01 -7.294E-06 -9.918E-02
    3.000E+00  1.250E-01  4.516E-01  6.478E-02  2.445E-02  2.799E-02 -6.087E-06 -3.997E-03 -6.378E-02 -2.132E-01 -1.504E-05 -6.417E-02
    6.000E+00  1.250E-01  2.545E-01  3.054E-02  2.025E-02  8.715E-03 -1.494E-05 -7.301E-03 -1.892E-02 -1.222E-01 -3.260E-05 -2.364E-02
    9.000E+00  1.250E-01  1.400E-01  1.869E-02  1.456E-02  3.800E-03 -1.462E-05 -8.211E-03 -9.034E-03 -6.620E-02 -3.603E-05 -1.097E-02
    1.200E+01  1.250E-01  8.361E-02  1.340E-02  1.055E-02  1.907E-03 -1.184E-05 -7.963E-03 -5.713E-03 -3.844E-02 -3.309E-05 -5.737E-03
    1.500E+01  1.250E-01  5.382E-02  1.061E-02  7.825E-03  9.959E-04 -9.159E-06 -7.317E-03 -4.252E-03 -2.389E-02 -2.862E-05 -3.197E-03
    1.800E+01  1.250E-01  3.675E-02  8.949E-03  5.947E-03  4.926E-04 -7.051E-06 -6.591E-03 -3.474E-03 -1.570E-02 -2.426E-05 -1.825E-03
    2.100E+01  1.250E-01  2.628E-02  7.860E-03  4.617E-03  1.907E-04 -5.470E-06 -5.893E-03 -2.996E-03 -1.079E-02 -2.046E-05 -1.029E-03
    2.400E+01  1.250E-01  1.949E-02  7.096E-03  3.652E-03 -6.803E-07 -4.295E-06 -5.260E-03 -2.669E-03 -7.680E-03 -1.725E-05 -5.419E-04
    2.700E+01  1.250E-01  1.489E-02  6.529E-03  2.935E-03 -1.265E-04 -3.420E-06 -4.702E-03 -2.427E-03 -5.627E-03 -1.458E-05 -2.319E-04
    3.000E+01  1.250E-01  1.166E-02  6.090E-03  2.392E-03 -2.110E-04 -2.763E-06 -4.214E-03 -2.238E-03 -4.221E-03 -1.237E-05 -2.861E-05
    3.300E+01  1.250E-01  9.321E-03  5.737E-03  1.974E-03 -2.685E-04 -2.263E-06 -3.789E-03 -2.083E-03 -3.226E-03 -1.054E-05  1.085E-04
    3.600E+01  1.250E-01  7.582E-03  5.447E-03  1.646E-03 -3.076E-04 -1.877E-06 -3.418E-03 -1.953E-03 -2.502E-03 -9.020E-06  2.030E-04
    3.900E+01  1.250E-01  6.262E-03  5.202E-03  1.386E-03 -3.338E-04 -1.574E-06 -3.095E-03 -1.841E-03 -1.962E-03 -7.750E-06  2.696E-04
    4.200E+01  1.250E-01  5.240E-03  4.992E-03  1.177E-03 -3.510E-04 -1.332E-06 -2.811E-03 -1.742E-03 -1.552E-03 -6.685E-06  3.176E-04
    4.500E+01  1.250E-01  4.437E-03  4.810E-03  1.007E-03 -3.614E-04 -1.134E-06 -2.561E-03 -1.654E-03 -1.234E-03 -5.786E-06  3.530E-04
    4.800E+01  1.250E-01  3.796E-03  4.649E-03  8.674E-04 -3.670E-04 -9.702E-07 -2.340E-03 -1.575E-03 -9.829E-04 -5.023E-06  3.799E-04
    5.100E+01  1.250E-01  3.279E-03  4.506E-03  7.519E-04 -3.690E-04 -8.326E-07 -2.145E-03 -1.503E-03 -7.821E-04 -4.373E-06  4.009E-04
    5.400E+01  1.250E-01  2.856E-03  4.378E-03  6.556E-04 -3.683E-04 -7.158E-07 -1.971E-03 -1.437E-03 -6.192E-04 -3.816E-06  4.179E-04
    5.700E+01  1.250E-01  2.506E-03  4.263E-03  5.746E-04 -3.656E-04 -6.162E-07 -1.816E-03 -1.377E-03 -4.857E-04 -3.338E-06  4.320E-04
    6.000E+01  1.250E-01  2.215E-03  4.158E-03  5.060E-04 -3.614E-04 -5.309E-07 -1.676E-03 -1.321E-03 -3.752E-04 -2.926E-06  4.440E-04
    6.300E+01  1.250E-01  1.970E-03  4.062E-03  4.476E-04 -3.561E-04 -4.579E-07 -1.551E-03 -1.269E-03 -2.829E-04 -2.570E-06  4.547E-04
    6.600E+01  1.250E-01  1.763E-03  3.975E-03  3.976E-04 -3.501E-04 -3.956E-07 -1.439E-03 -1.221E-03 -2.053E-04 -2.263E-06  4.643E-04
    6.900E+01  1.250E-01  1.586E-03  3.895E-03  3.545E-04 -3.434E-04 -3.425E-07 -1.337E-03 -1.176E-03 -1.396E-04 -1.997E-06  4.732E-04
    7.200E+01  1.250E-01  1.434E-03  3.821E-03  3.173E-04 -3.363E-04 -2.975E-07 -1.245E-03 -1.134E-03 -8.378E-05 -1.767E-06  4.815E-04
    7.500E+01  1.250E-01  1.302E-03  3.753E-03  2.849E-04 -3.290E-04 -2.596E-07 -1.161E-03 -1.094E-03 -3.613E-05 -1.566E-06  4.895E-04
