      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  7.500E-01  3.528E-02  2.961E-01 -2.068E-03  2.091E-01  9.105E-10  3.710E-04 -5.121E-01 -9.092E-03  3.579E-10 -3.625E-01
    1.000E-02  7.500E-01  5.043E-02  3.914E-01 -2.949E-03  2.764E-01  1.777E-09  5.286E-04 -6.769E-01 -1.293E-02  7.544E-10 -4.792E-01
    2.000E-02  7.500E-01  7.151E-02  4.898E-01 -4.172E-03  3.457E-01  3.807E-09  7.505E-04 -8.467E-01 -1.842E-02  1.426E-09 -5.995E-01
    5.000E-02  7.500E-01  1.122E-01  5.756E-01 -6.492E-03  4.060E-01  9.188E-09  1.178E-03 -9.943E-01 -2.912E-02  2.983E-09 -7.043E-01
    1.000E-01  7.500E-01  1.557E-01  5.706E-01 -8.891E-03  4.019E-01  1.939E-08  1.642E-03 -9.842E-01 -4.107E-02  1.613E-09 -6.979E-01
    2.000E-01  7.500E-01  2.119E-01  5.061E-01 -1.177E-02  3.553E-01  4.445E-08  2.261E-03 -8.698E-01 -5.788E-02 -3.036E-08 -6.183E-01
    3.000E-01  7.500E-01  2.501E-01  4.526E-01 -1.350E-02  3.165E-01  8.207E-08  2.709E-03 -7.746E-01 -7.084E-02 -1.272E-07 -5.522E-01
    4.000E-01  7.500E-01  2.790E-01  4.126E-01 -1.462E-02  2.871E-01  1.373E-07  3.072E-03 -7.023E-01 -8.198E-02 -3.181E-07 -5.025E-01
    5.000E-01  7.500E-01  3.019E-01  3.818E-01 -1.533E-02  2.642E-01  2.128E-07  3.388E-03 -6.460E-01 -9.211E-02 -6.291E-07 -4.641E-01
    7.500E-01  7.500E-01  3.436E-01  3.293E-01 -1.604E-02  2.241E-01  5.286E-07  4.069E-03 -5.466E-01 -1.153E-01 -2.098E-06 -3.978E-01
    1.000E+00  7.500E-01  3.727E-01  2.962E-01 -1.583E-02  1.973E-01  1.032E-06  4.690E-03 -4.799E-01 -1.373E-01 -4.816E-06 -3.552E-01
    2.000E+00  7.500E-01  4.479E-01  2.374E-01 -1.105E-02  1.398E-01  3.820E-06  7.197E-03 -3.323E-01 -2.302E-01 -3.274E-05 -2.730E-01
    3.000E+00  7.500E-01  5.135E-01  2.211E-01 -3.427E-03  1.097E-01  6.627E-07  9.639E-03 -2.499E-01 -3.344E-01 -9.244E-05 -2.411E-01
